,short,full
146,AB077265.1,AB077265.1 Aegilops longissima DNA TaiI-family tandem...
147,AB077266.1,AB077266.1 Aegilops longissima DNA TaiI-family tandem...
148,AB077267.1,AB077267.1 Pseudoroegneria stipifolia DNA TaiI-family tandem...
149,AB077268.1,AB077268.1 Leymus mollis DNA TaiI-family tandem...
150,AB077369.1,AB077369.1 Aegilops speltoides DNA repeat sequence...
151,AB077370.1,AB077370.1 Leymus racemosus DNA repeat sequence...
152,AB077371.1,AB077371.1 Leymus racemosus DNA repeat sequence...
153,AB077372.1,AB077372.1 Leymus mollis DNA repeat sequence...
154,AB077373.1,AB077373.1 Leymus mollis DNA repeat sequence...
155,AB077374.1,AB077374.1 Leymus racemosus DNA repeat sequence...
156,AB077375.1,AB077375.1 Leymus racemosus DNA repeat sequence...
157,AB077376.1,AB077376.1 Leymus racemosus DNA repeat sequence...
158,AB077377.1,AB077377.1 Triticum aestivum DNA repeat sequence...
159,AB077378.1,AB077378.1 Leymus racemosus DNA repeat sequence...
160,AB077379.1,AB077379.1 Leymus racemosus DNA repeat sequence...
161,AB077380.1,AB077380.1 Leymus racemosus DNA repeat sequence...
162,AB077381.1,AB077381.1 Leymus racemosus DNA repeat sequence...
163,AB088401.1,AB088401.1 Aegilops speltoides DNA centromeric repeat...
164,AB088402.1,AB088402.1 Aegilops speltoides DNA microsatellite clone:307-5...
165,AB099945.1,AB099945.1 Triticum aestivum DNA centromeric repeat...
166,AB099946.1,AB099946.1 Triticum aestivum DNA centromeric repeat...
167,AB099947.1,AB099947.1 Triticum aestivum DNA centromeric repeat...
168,AB099948.1,AB099948.1 Triticum aestivum DNA centromeric repeat...
169,AB099949.1,AB099949.1 Triticum aestivum DNA centromeric repeat...
170,AB120307.1,AB120307.1 Hordeum vulgare BRP gene for...
171,AB164241.1,AB164241.1 Triticum aestivum transposon Ty3/gypsy DNA...
172,AB164242.1,AB164242.1 Triticum aestivum transposon Ty3/gypsy DNA...
173,AB164243.1,AB164243.1 Triticum aestivum transposon Ty3/gypsy DNA...
174,AB164244.1,AB164244.1 Triticum aestivum transposon Ty3/gypsy DNA...
175,AB164245.1,AB164245.1 Triticum aestivum transposon Ty3/gypsy DNA...
176,AB164246.1,AB164246.1 Triticum aestivum transposon Ty3/gypsy DNA...
177,AB164247.1,AB164247.1 Triticum aestivum transposon Ty3/gypsy DNA...
178,AB164248.1,AB164248.1 Triticum aestivum transposon Ty3/gypsy DNA...
179,AB164249.1,AB164249.1 Triticum aestivum transposon Ty3/gypsy DNA...
180,AB164250.1,AB164250.1 Triticum aestivum transposon Ty3/gypsy DNA...
181,AB164251.1,AB164251.1 Triticum aestivum transposon Ty3/gypsy DNA...
182,AB164252.1,AB164252.1 Triticum aestivum transposon Ty3/gypsy DNA...
183,AB164253.1,AB164253.1 Triticum aestivum transposon Ty3/gypsy DNA...
184,AB164254.1,AB164254.1 Triticum aestivum transposon Ty3/gypsy DNA...
185,AB164255.1,AB164255.1 Triticum aestivum transposon Ty3/gypsy DNA...
186,AB164256.1,AB164256.1 Triticum aestivum transposon Ty3/gypsy DNA...
187,AB164257.1,AB164257.1 Triticum aestivum transposon Ty3/gypsy DNA...
188,AB164258.1,AB164258.1 Triticum aestivum transposon Ty3/gypsy DNA...
189,AB164259.1,AB164259.1 Triticum aestivum transposon Ty3/gypsy DNA...
190,AB164260.1,AB164260.1 Triticum aestivum transposon Ty3/gypsy DNA...
191,AB164261.1,AB164261.1 Triticum aestivum transposon Ty3/gypsy DNA...
192,AB164262.1,AB164262.1 Triticum aestivum transposon Ty3/gypsy DNA...
193,AB164263.1,AB164263.1 Triticum aestivum transposon Ty3/gypsy DNA...
194,AB164264.1,AB164264.1 Triticum aestivum transposon Ty3/gypsy DNA...
195,AB164265.1,AB164265.1 Triticum aestivum transposon Ty3/gypsy DNA...
196,AB164266.1,AB164266.1 Triticum aestivum transposon Ty3/gypsy DNA...
197,AB164267.1,AB164267.1 Triticum aestivum transposon Ty3/gypsy DNA...
198,AB164268.1,AB164268.1 Triticum aestivum transposon Ty3/gypsy DNA...
199,AB164269.1,AB164269.1 Triticum aestivum transposon Ty3/gypsy DNA...
200,AB164270.1,AB164270.1 Triticum aestivum transposon Ty3/gypsy DNA...
201,AB164271.1,AB164271.1 Triticum aestivum transposon Ty3/gypsy DNA...
202,AB164272.1,AB164272.1 Triticum aestivum transposon Ty3/gypsy DNA...
203,AB164273.1,AB164273.1 Triticum aestivum transposon Ty3/gypsy DNA...
204,AB164274.1,AB164274.1 Triticum aestivum transposon Ty3/gypsy DNA...
205,AB164275.1,AB164275.1 Triticum aestivum transposon Ty3/gypsy DNA...
206,AB164276.1,AB164276.1 Triticum aestivum transposon Ty3/gypsy DNA...
207,AB164277.1,AB164277.1 Triticum aestivum transposon Ty3/gypsy DNA...
208,AB164278.1,AB164278.1 Triticum aestivum transposon Ty3/gypsy DNA...
209,AB164279.1,AB164279.1 Triticum aestivum transposon Ty3/gypsy DNA...
210,AB164280.1,AB164280.1 Triticum aestivum transposon Ty3/gypsy DNA...
211,AB164281.1,AB164281.1 Triticum aestivum transposon Ty3/gypsy DNA...
212,AB164282.1,AB164282.1 Triticum aestivum transposon Ty3/gypsy DNA...
213,AB164283.1,AB164283.1 Triticum aestivum transposon Ty3/gypsy DNA...
214,AB164284.1,AB164284.1 Triticum aestivum transposon Ty3/gypsy DNA...
215,AB164285.1,AB164285.1 Triticum aestivum transposon Ty3/gypsy DNA...
216,AB164286.1,AB164286.1 Triticum aestivum transposon Ty3/gypsy DNA...
217,AB164287.1,AB164287.1 Triticum aestivum transposon Ty3/gypsy DNA...
218,AB164288.1,AB164288.1 Triticum aestivum transposon Ty3/gypsy DNA...
219,AB164289.1,AB164289.1 Triticum aestivum transposon Ty3/gypsy DNA...
220,AB164290.1,AB164290.1 Triticum aestivum transposon Ty3/gypsy DNA...
221,AB164291.1,AB164291.1 Triticum aestivum transposon Ty3/gypsy DNA...
222,AB164292.1,AB164292.1 Triticum aestivum transposon Ty3/gypsy DNA...
223,AB164293.1,AB164293.1 Triticum aestivum transposon Ty3/gypsy DNA...
224,AB164294.1,AB164294.1 Triticum aestivum transposon Ty3/gypsy DNA...
225,AB164295.1,AB164295.1 Triticum aestivum transposon Ty3/gypsy DNA...
226,AB164296.1,AB164296.1 Triticum aestivum transposon Ty3/gypsy DNA...
227,AB164297.1,AB164297.1 Triticum aestivum transposon Ty3/gypsy DNA...
228,AB298184.1,AB298184.1 Triticum aestivum genes for P450...
229,AB298185.1,AB298185.1 Triticum aestivum genes for P450...
230,AB298186.1,AB298186.1 Triticum aestivum genes for P450...
231,AB521119.1,AB521119.1 Aegilops tauschii DNA tandem repetitive...
232,AB646252.1,AB646252.1 Secale cereale DNA transposon Revolver-3...
233,AB646253.1,AB646253.1 Secale cereale DNA transposon Revolver-5...
234,AB646254.1,AB646254.1 Secale cereale DNA transposon Revolver-6...
235,AF016254.1,AF016254.1 Triticum aestivum chromosome 5DL RFLP...
236,AF025855.1,AF025855.1 Aegilops markgrafii RAPD marker generated...
237,AF025856.1,AF025856.1 Aegilops markgrafii RAPD marker generated...
238,AF025857.1,AF025857.1 Aegilops markgrafii RAPD marker generated...
239,AF025858.1,AF025858.1 Aegilops markgrafii RAPD marker generated...
240,AF025859.1,AF025859.1 Aegilops markgrafii RAPD marker generated...
241,AF025860.1,AF025860.1 Aegilops markgrafii RAPD marker generated...
242,AF025861.1,AF025861.1 Aegilops markgrafii RAPD marker generated...
243,AF025862.1,AF025862.1 Aegilops markgrafii RAPD marker generated...
244,AF025863.1,AF025863.1 Aegilops markgrafii RAPD marker generated...
245,AF025864.1,AF025864.1 Aegilops markgrafii RAPD marker generated...
246,AF025865.1,AF025865.1 Aegilops markgrafii RAPD marker generated...
247,AF025866.1,AF025866.1 Aegilops markgrafii RAPD marker generated...
248,AF025867.1,AF025867.1 Aegilops markgrafii RAPD marker generated...
249,AF025868.1,AF025868.1 Aegilops markgrafii RAPD marker generated...
250,AF025869.1,AF025869.1 Aegilops markgrafii RAPD marker generated...
251,AF025870.1,AF025870.1 Aegilops markgrafii RAPD marker generated...
252,AF025871.1,AF025871.1 Aegilops markgrafii RAPD marker generated...
253,AF025872.1,AF025872.1 Aegilops markgrafii RAPD marker generated...
254,AF025873.1,AF025873.1 Aegilops markgrafii RAPD marker generated...
255,AF025874.1,AF025874.1 Aegilops markgrafii RAPD marker generated...
256,AF025875.1,AF025875.1 Aegilops markgrafii RAPD marker generated...
257,AF025876.1,AF025876.1 Aegilops markgrafii RAPD marker generated...
258,AF028248.1,AF028248.1 Hordeum chilense RAPD marker IAS-pHc1-1...
259,AF028249.1,AF028249.1 Hordeum chilense RAPD marker IAS-pHc1-2...
260,AF028250.1,AF028250.1 Hordeum chilense RAPD marker IAS-pHc1-3...
261,AF028251.1,AF028251.1 Hordeum chilense RAPD marker IAS-pHc1-4...
262,AF028252.1,AF028252.1 Hordeum chilense RAPD marker IAS-pHc2-1...
263,AF028253.1,AF028253.1 Hordeum chilense RAPD marker IAS-pHc2-2...
264,AF028254.1,AF028254.1 Hordeum chilense RAPD marker IAS-pHc4-1...
265,AF028255.1,AF028255.1 Hordeum chilense RAPD marker IAS-pHc4-2...
266,AF028256.1,AF028256.1 Hordeum chilense RAPD marker IAS-pHc4-3...
267,AF028257.1,AF028257.1 Hordeum chilense RAPD marker IAS-pHc4-4...
268,AF028258.1,AF028258.1 Hordeum chilense RAPD marker IAS-pHc5-1...
269,AF028259.1,AF028259.1 Hordeum chilense RAPD marker IAS-pHc6-1...
270,AF028260.1,AF028260.1 Hordeum chilense RAPD marker IAS-pHc6-2...
271,AF028261.1,AF028261.1 Hordeum chilense RAPD marker IAS-pHc6-3...
272,AF028262.1,AF028262.1 Hordeum chilense RAPD marker IAS-pHc6-4...
273,AF028263.1,AF028263.1 Hordeum chilense RAPD marker IAS-pHc7-1...
274,AF028264.1,AF028264.1 Hordeum chilense RAPD marker IAS-pHc7-2...
275,AF028265.1,AF028265.1 Hordeum chilense RAPD marker IAS-pHc7-3...
276,AF028266.1,AF028266.1 Hordeum chilense RAPD marker IAS-pHc7-4...
277,AF028267.1,AF028267.1 Hordeum chilense RAPD marker IAS-pHc7-5...
278,AF028268.1,AF028268.1 Hordeum chilense RAPD marker IAS-pHc4&7-1...
279,AF028269.1,AF028269.1 Hordeum chilense RAPD marker IAS-pHcR1...
280,AF028270.1,AF028270.1 Hordeum chilense RAPD marker IAS-pHcR2...
281,AF028271.1,AF028271.1 Hordeum chilense RAPD marker IAS-pHcR3...
282,AF028272.1,AF028272.1 Hordeum chilense RAPD marker IAS-pHcR4...
283,AF028273.1,AF028273.1 Hordeum chilense RAPD marker IAS-pHcR5...
284,AF028274.1,AF028274.1 Hordeum chilense RAPD marker IAS-pHcR6...
285,AF028275.1,AF028275.1 Hordeum chilense RAPD marker IAS-pHcR7...
286,AF028276.1,AF028276.1 Hordeum chilense RAPD marker IAS-pHcR8...
287,AF028277.1,AF028277.1 Hordeum chilense RAPD marker IAS-pHcR9...
288,AF028278.1,AF028278.1 Hordeum chilense RAPD marker IAS-pHcR10...
289,AF028279.1,AF028279.1 Hordeum chilense RAPD marker IAS-pHcR11...
290,AF028280.1,AF028280.1 Hordeum chilense RAPD marker IAS-pHcR12...
291,AF030407.1,AF030407.1 Hordeum vulgare YLM-S susceptibility-associated allele...
292,AF030408.1,AF030408.1 Hordeum vulgare YLM-R resistance-associated allele...
293,AF078801.1,AF078801.1 Hordeum vulgare degenerate retrotransposon cereba...
294,AF087828.1,AF087828.1 Triticum aestivum genomic repeat region...
295,AF120164.1,AF120164.1 Triticum aestivum cultivar Chinese Spring...
296,AF120165.1,AF120165.1 Triticum aestivum cultivar Chinese Spring...
297,AF120166.1,AF120166.1 Triticum aestivum cultivar Chinese Spring...
298,AF120167.1,AF120167.1 Triticum aestivum cultivar Chinese Spring...
299,AF120168.1,AF120168.1 Aegilops longissima RAPD-generated marker sequence...
300,AF120169.1,AF120169.1 Aegilops longissima RAPD-generated marker sequence...
301,AF120170.1,AF120170.1 Aegilops longissima RAPD-generated marker sequence...
302,AF120171.1,AF120171.1 Aegilops longissima RAPD-generated marker sequence...
303,AF120172.1,AF120172.1 Aegilops bicornis RAPD-generated marker sequence...
304,AF120173.1,AF120173.1 Aegilops speltoides RAPD-generated marker sequence...
305,AF120174.1,AF120174.1 Aegilops speltoides RAPD-generated marker sequence...
306,AF120175.1,AF120175.1 Triticum aestivum cultivar Chinese Spring...
307,AF120176.1,AF120176.1 Triticum aestivum cultivar Chinese Spring...
308,AF120177.1,AF120177.1 Triticum aestivum cultivar Chinese Spring...
309,AF120178.1,AF120178.1 Triticum aestivum cultivar Chinese Spring...
310,AF120179.1,AF120179.1 Triticum aestivum cultivar Chinese Spring...
311,AF120180.1,AF120180.1 Triticum aestivum cultivar Chinese Spring...
312,AF120181.1,AF120181.1 Triticum aestivum cultivar Chinese Spring...
313,AF120182.1,AF120182.1 Triticum aestivum cultivar Chinese Spring...
314,AF120183.1,AF120183.1 Triticum aestivum cultivar Chinese Spring...
315,AF120184.1,AF120184.1 Triticum aestivum cultivar Chinese Spring...
316,AF120185.1,AF120185.1 Triticum aestivum cultivar Chinese Spring...
317,AF136462.1,AF136462.1 Secale cereale clone SCM5 microsatellite...
318,AF136463.1,AF136463.1 Secale cereale clone SCM2 microsatellite...
319,AF136464.1,AF136464.1 Secale cereale clone SCM9 microsatellite...
320,AF136465.1,AF136465.1 Secale cereale clone SCM28 microsatellite...
321,AF136466.1,AF136466.1 Secale cereale clone SCM39 microsatellite...
322,AF136467.1,AF136467.1 Secale cereale clone SCM40 microsatellite...
323,AF136468.1,AF136468.1 Secale cereale clone SCM43 microsatellite...
324,AF136469.1,AF136469.1 Secale cereale clone SCM65 microsatellite...
325,AF136470.1,AF136470.1 Secale cereale clone SCM69 microsatellite...
326,AF136471.1,AF136471.1 Secale cereale clone SCM75 microsatellite...
327,AF136472.1,AF136472.1 Secale cereale clone SCM86 microsatellite...
328,AF136473.1,AF136473.1 Secale cereale clone SCM101 microsatellite...
329,AF136474.1,AF136474.1 Secale cereale clone SCM102 microsatellite...
330,AF136475.1,AF136475.1 Secale cereale clone SCM104 microsatellite...
331,AF136476.1,AF136476.1 Secale cereale clone SCM109 microsatellite...
332,AF136477.1,AF136477.1 Secale cereale clone SCM111 microsatellite...
333,AF136478.1,AF136478.1 Secale cereale clone SCM120 microsatellite...
334,AF136479.1,AF136479.1 Secale cereale clone SCM138 microsatellite...
335,AF136480.1,AF136480.1 Secale cereale clone SCM180 microsatellite...
336,AF136481.1,AF136481.1 Secale cereale clone SCM206 microsatellite...
337,AF136482.1,AF136482.1 Secale cereale clone SCM243 microsatellite...
338,AF136483.1,AF136483.1 Secale cereale clone SCM256 microsatellite...
339,AF136484.1,AF136484.1 Secale cereale clone SCM268 microsatellite...
340,AF136485.1,AF136485.1 Secale cereale clone SCM273 microsatellite...
341,AF136486.1,AF136486.1 Secale cereale clone SCM304 microsatellite...
342,AF136487.1,AF136487.1 Secale cereale clone SCM306 microsatellite...
343,AF136488.1,AF136488.1 Secale cereale clone SCM307 microsatellite...
344,AF139201.1,AF139201.1 Triticum aestivum clone p451 genomic...
345,AF139202.1,AF139202.1 Triticum aestivum clone p441 genomic...
346,AF169186.1,AF169186.1 Triticum aestivum gypsy type retrotransposon...
347,AF169187.1,AF169187.1 Triticum aestivum gypsy type retrotransposon...
348,AF169188.1,AF169188.1 Triticum aestivum gypsy type retrotransposon...
349,AF222021.1,AF222021.1 Secale cereale E3900 repeat region...
350,AF223161.1,AF223161.1 Secale cereale Ty3 retrotransposon structural...
351,AF245032.1,AF245032.1 Secale cereale retrotransposon Bilby partial...
352,AF275895.1,AF275895.1 Triticum turgidum subsp. durum microsatellite...
353,AF275896.1,AF275896.1 Triticum turgidum subsp. durum microsatellite...
354,AF275897.1,AF275897.1 Triticum turgidum subsp. durum microsatellite...
355,AF275898.1,AF275898.1 Triticum turgidum subsp. durum microsatellite...
356,AF275899.1,AF275899.1 Triticum turgidum subsp. durum microsatellite...
357,AF275900.1,AF275900.1 Triticum turgidum subsp. durum microsatellite...
358,AF275901.1,AF275901.1 Triticum turgidum subsp. durum microsatellite...
359,AF305421.2,AF305421.2 Aegilops speltoides copia-like retrotransposon partial...
360,AF305942.1,AF305942.1 Secale cereale OPC10 RAPD marker...
361,AF305943.1,AF305943.1 Secale cereale OPH20 RAPD marker...
362,AF309354.1,AF309354.1 Hordeum vulgare STS marker ABC152...
363,AF309355.1,AF309355.1 Hordeum vulgare STS marker ABG53...
364,AF309356.1,AF309356.1 Hordeum vulgare STS marker ABG74...
365,AF309357.1,AF309357.1 Hordeum vulgare STS marker ABG373...
366,AF309358.1,AF309358.1 Hordeum vulgare STS marker ABG452...
367,AF309359.1,AF309359.1 Hordeum vulgare STS marker ABG494...
368,AF309360.1,AF309360.1 Hordeum vulgare STS marker ABG500...
369,AF309361.1,AF309361.1 Hordeum vulgare STS marker BCD386...
