"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
11	44208	"Tekay"	"                                                | nhits | proportion |                                                                                    features
------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 4463  | 0.1        |                                                                                            
 |--organelle                                   | 53    | 0.0012     |                                                                                            
 |   '--plastid                                 | 53    | 0.0012     |                                                                                            
 '--repeat                                      | 4410  | 0.1        |                                                                                            
     |--rDNA                                    | 2     | 4.5e-05    |                                                                                            
     |   '--45S_rDNA                            | 2     | 4.5e-05    |                                                                                            
     |       '--25S_rDNA                        | 2     | 4.5e-05    |                                                                                            
     '--mobile_element                          | 4408  | 0.1        |                                                                                            
         '--Class_I                             | 4408  | 0.1        |                                                                                            
             |--LTR                             | 4407  | 0.1        | LTR/PBS                                                                                    
             |   |--Ty1_copia                   | 2     | 4.5e-05    |                                                                                            
             |   |   '--Angela                  | 2     | 4.5e-05    | 1 (Ty1-INT), 1 (Ty1-RH),                                                                   
             |   '--Ty3_gypsy                   | 4405  | 0.1        |                                                                                            
             |       |--non-chromovirus         | 1     | 2.3e-05    |                                                                                            
             |       |   '--OTA                 | 1     | 2.3e-05    |                                                                                            
             |       |       '--Tat             | 1     | 2.3e-05    |                                                                                            
             |       |           '--Retand      | 1     | 2.3e-05    | 1 (Ty3-INT),                                                                               
             |       '--chromovirus             | 4404  | 0.1        |                                                                                            
             |           |--Chlamyvir           | 34    | 0.00077    | 34 (Ty3-RT),                                                                               
             |           |--CRM                 | 1     | 2.3e-05    | 1 (Ty3-RH),                                                                                
             |           |--Tekay               | 4367  | 0.099      | 301 (Ty3-CHD), 473 (Ty3-GAG), 1236 (Ty3-INT), 235 (Ty3-PROT), 930 (Ty3-RH), 1192 (Ty3-RT), 
             |           '--Reina               | 2     | 4.5e-05    | 2 (Ty3-RT),                                                                                
             '--LINE                            | 1     | 2.3e-05    | 1 (LINE-RT),                                                                               "	NA	"49,75,110,16"
12	41972	"Tekay"	"                                                | nhits | proportion |                                                                                   features
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 4172  | 0.099      |                                                                                           
 |--organelle                                   | 3     | 7.2e-05    |                                                                                           
 |   |--plastid                                 | 2     | 4.8e-05    |                                                                                           
 |   '--mitochondria                            | 1     | 2.4e-05    |                                                                                           
 '--repeat                                      | 4169  | 0.099      |                                                                                           
     '--mobile_element                          | 4169  | 0.099      |                                                                                           
         '--Class_I                             | 4169  | 0.099      |                                                                                           
             |--LTR                             | 4164  | 0.099      | LTR/PBS                                                                                   
             |   |--Ty1_copia                   | 4     | 9.5e-05    |                                                                                           
             |   |   |--Angela                  | 3     | 7.2e-05    | 2 (Ty1-INT), 1 (Ty1-RT),                                                                  
             |   |   '--Ivana                   | 1     | 2.4e-05    | 1 (Ty1-RH),                                                                               
             |   '--Ty3_gypsy                   | 4160  | 0.099      |                                                                                           
             |       |--non-chromovirus         | 1     | 2.4e-05    |                                                                                           
             |       |   '--OTA                 | 1     | 2.4e-05    |                                                                                           
             |       |       '--Tat             | 1     | 2.4e-05    |                                                                                           
             |       |           '--Retand      | 1     | 2.4e-05    | 1 (Ty3-INT),                                                                              
             |       '--chromovirus             | 4159  | 0.099      |                                                                                           
             |           |--Chlamyvir           | 8     | 0.00019    | 8 (Ty3-RT),                                                                               
             |           |--Tcn1                | 6     | 0.00014    | 6 (Ty3-RT),                                                                               
             |           |--CRM                 | 2     | 4.8e-05    | 2 (Ty3-RT),                                                                               
             |           |--Galadriel           | 4     | 9.5e-05    | 4 (Ty3-RT),                                                                               
             |           |--Tekay               | 4136  | 0.098      | 331 (Ty3-CHD), 531 (Ty3-GAG), 1646 (Ty3-INT), 222 (Ty3-PROT), 615 (Ty3-RH), 791 (Ty3-RT), 
             |           |--Reina               | 2     | 4.8e-05    | 2 (Ty3-RT),                                                                               
             |           '--chromo-unclass      | 1     | 2.4e-05    | 1 (Ty3-INT),                                                                              
             '--LINE                            | 5     | 0.00012    | 5 (LINE-RT),                                                                              "	NA	"23,104,124,21"
13	24833	"EnSpm_CACTA"	"                                                | nhits | proportion |                  features
------------------------------------------------------------------------------------------------
All                                             | 8713  | 0.35       |                          
 |--organelle                                   | 2     | 8e-05      |                          
 |   '--plastid                                 | 2     | 8e-05      |                          
 '--repeat                                      | 8711  | 0.35       |                          
     |--satellite                               | 4668  | 0.19       |                          
     '--mobile_element                          | 4043  | 0.16       |                          
         |--Class_I                             | 5     | 2e-04      |                          
         |   '--LTR                             | 5     | 2e-04      |                          
         |       |--Ty1_copia                   | 2     | 8.1e-05    |                          
         |       |   |--Angela                  | 1     | 4e-05      | 1 (Ty1-RT),              
         |       |   '--Ivana                   | 1     | 4e-05      | 1 (Ty1-INT),             
         |       '--Ty3_gypsy                   | 3     | 0.00012    |                          
         |           |--non-chromovirus         | 2     | 8e-05      |                          
         |           |   '--OTA                 | 2     | 8e-05      |                          
         |           |       '--Tat             | 2     | 8e-05      |                          
         |           |           '--Retand      | 2     | 8e-05      | 1 (Ty3-aRH), 1 (Ty3-RT), 
         |           '--chromovirus             | 1     | 4e-05      |                          
         |               '--Reina               | 1     | 4e-05      | 1 (Ty3-GAG),             
         '--Class_II                            | 4038  | 0.16       |                          
             '--Subclass_1                      | 4038  | 0.16       |                          
                 '--TIR                         | 4038  | 0.16       |                          
                     '--EnSpm_CACTA             | 4038  | 0.16       | 4038 (CACTA-TPase),      "	"115 - Putative satellites (low confidence)"	"89,115,147,61"
14	23932	"CRM"	"                                                | nhits | proportion |                                                                                        features
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 6924  | 0.29       |                                                                                                
 |--organelle                                   | 1     | 4.2e-05    |                                                                                                
 |   '--plastid                                 | 1     | 4.2e-05    |                                                                                                
 '--repeat                                      | 6923  | 0.29       |                                                                                                
     '--mobile_element                          | 6923  | 0.29       |                                                                                                
         '--Class_I                             | 6923  | 0.29       |                                                                                                
             '--LTR                             | 6923  | 0.29       |                                                                                                
                 '--Ty3_gypsy                   | 6923  | 0.29       |                                                                                                
                     |--non-chromovirus         | 2     | 8.4e-05    |                                                                                                
                     |   '--OTA                 | 2     | 8.4e-05    |                                                                                                
                     |       '--Tat             | 2     | 8.4e-05    |                                                                                                
                     |           '--Retand      | 2     | 8.4e-05    | 2 (Ty3-INT),                                                                                   
                     '--chromovirus             | 6921  | 0.29       |                                                                                                
                         |--CRM                 | 6919  | 0.29       | 563 (Ty3-CHDCR), 1134 (Ty3-GAG), 1957 (Ty3-INT), 622 (Ty3-PROT), 1057 (Ty3-RH), 1586 (Ty3-RT), 
                         '--Tekay               | 2     | 8.4e-05    | 2 (Ty3-RT),                                                                                    "	NA	"72,31"
15	23036	"repeat"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 13298 | 0.58       |              
 |--organelle                                   | 2     | 8.7e-05    |              
 |   |--plastid                                 | 1     | 4.3e-05    |              
 |   '--mitochondria                            | 1     | 4.3e-05    |              
 '--repeat                                      | 13296 | 0.58       |              
     |--satellite                               | 13294 | 0.58       |              
     '--mobile_element                          | 2     | 8.7e-05    |              
         '--Class_I                             | 2     | 8.7e-05    |              
             '--LTR                             | 2     | 8.7e-05    |              
                 '--Ty3_gypsy                   | 2     | 8.7e-05    |              
                     |--non-chromovirus         | 1     | 4.3e-05    |              
                     |   '--OTA                 | 1     | 4.3e-05    |              
                     |       '--Tat             | 1     | 4.3e-05    |              
                     |           '--Retand      | 1     | 4.3e-05    | 1 (Ty3-INT), 
                     '--chromovirus             | 1     | 4.3e-05    |              
                         '--CRM                 | 1     | 4.3e-05    | 1 (Ty3-RT),  "	"38 - Putative satellites (low confidence)"	"73,38"
16	20659	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 4     | 0.00019    |              
 |--organelle                                   | 2     | 9.7e-05    |              
 |   '--mitochondria                            | 2     | 9.7e-05    |              
 '--repeat                                      | 2     | 9.7e-05    |              
     '--mobile_element                          | 2     | 9.7e-05    |              
         '--Class_I                             | 2     | 9.7e-05    |              
             |--LTR                             | 1     | 4.8e-05    |              
             |   '--Ty3_gypsy                   | 1     | 4.8e-05    |              
             |       '--non-chromovirus         | 1     | 4.8e-05    |              
             |           '--OTA                 | 1     | 4.8e-05    |              
             |               '--Athila          | 1     | 4.8e-05    | 1 (Ty3-RT),  
             '--LINE                            | 1     | 4.8e-05    | 1 (LINE-RT), "	NA	"117,123,166,170,76"
17	18052	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 21    | 0.0012     |              
 |--organelle                                   | 20    | 0.0011     |              
 |   '--mitochondria                            | 20    | 0.0011     |              
 '--repeat                                      | 1     | 5.5e-05    |              
     '--mobile_element                          | 1     | 5.5e-05    |              
         '--Class_I                             | 1     | 5.5e-05    |              
             '--LTR                             | 1     | 5.5e-05    |              
                 '--Ty3_gypsy                   | 1     | 5.5e-05    |              
                     '--non-chromovirus         | 1     | 5.5e-05    |              
                         '--OTA                 | 1     | 5.5e-05    |              
                             '--Athila          | 1     | 5.5e-05    | 1 (Ty3-INT), "	NA	"15"
18	17693	"repeat"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 14288 | 0.81       |               
 |--organelle                                   | 10    | 0.00056    |               
 |   '--mitochondria                            | 10    | 0.00056    |               
 '--repeat                                      | 14278 | 0.81       |               
     |--rDNA                                    | 7152  | 0.4        |               
     |   '--45S_rDNA                            | 7152  | 0.4        |               
     |       |--18S_rDNA                        | 2523  | 0.14       |               
     |       |--25S_rDNA                        | 4474  | 0.25       |               
     |       '--5.8S_rDNA                       | 155   | 0.0088     |               
     |--satellite                               | 7124  | 0.4        |               
     '--mobile_element                          | 2     | 0.00011    |               
         '--Class_I                             | 2     | 0.00011    |               
             '--LTR                             | 2     | 0.00011    |               
                 |--Ty1_copia                   | 1     | 5.6e-05    |               
                 |   '--Ale                     | 1     | 5.6e-05    | 1 (Ty1-INT),  
                 '--Ty3_gypsy                   | 1     | 5.6e-05    |               
                     '--non-chromovirus         | 1     | 5.6e-05    |               
                         '--OTA                 | 1     | 5.6e-05    |               
                             '--Tat             | 1     | 5.6e-05    |               
                                 '--Retand      | 1     | 5.6e-05    | 1 (Ty3-PROT), "	"94 - Putative satellites (high confidence)"	"105,121,94"
19	17440	"Retand"	"                                                | nhits | proportion |                                                                     features
---------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 4738  | 0.27       |                                                                             
 '--repeat                                      | 4738  | 0.27       |                                                                             
     |--rDNA                                    | 1     | 5.7e-05    |                                                                             
     |   '--45S_rDNA                            | 1     | 5.7e-05    |                                                                             
     |       '--25S_rDNA                        | 1     | 5.7e-05    |                                                                             
     '--mobile_element                          | 4737  | 0.27       |                                                                             
         '--Class_I                             | 4737  | 0.27       |                                                                             
             '--LTR                             | 4737  | 0.27       |                                                                             
                 |--Ty1_copia                   | 1     | 5.7e-05    |                                                                             
                 |   '--TAR                     | 1     | 5.7e-05    | 1 (Ty1-INT),                                                                
                 '--Ty3_gypsy                   | 4736  | 0.27       |                                                                             
                     |--non-chromovirus         | 4717  | 0.27       |                                                                             
                     |   '--OTA                 | 4717  | 0.27       |                                                                             
                     |       |--Athila          | 1     | 5.7e-05    | 1 (Ty3-INT),                                                                
                     |       '--Tat             | 4716  | 0.27       |                                                                             
                     |           |--Ogre        | 66    | 0.0038     | 36 (Ty3-aRH), 1 (Ty3-GAG), 1 (Ty3-INT), 1 (Ty3-RH), 27 (Ty3-RT),            
                     |           '--Retand      | 4650  | 0.27       | 638 (Ty3-aRH), 1554 (Ty3-INT), 397 (Ty3-PROT), 886 (Ty3-RH), 1175 (Ty3-RT), 
                     '--chromovirus             | 19    | 0.0011     |                                                                             
                         |--chromo-outgroup     | 1     | 5.7e-05    | 1 (Ty3-RH),                                                                 
                         |--CRM                 | 3     | 0.00017    | 2 (Ty3-INT), 1 (Ty3-RH),                                                    
                         |--Tekay               | 7     | 4e-04      | 1 (Ty3-INT), 6 (Ty3-RH),                                                    
                         '--Reina               | 8     | 0.00046    | 6 (Ty3-RH), 2 (Ty3-RT),                                                     "	NA	"98,60"
20	16691	"SIRE"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 288   | 0.017      |                
 |--organelle                                   | 1     | 6e-05      |                
 |   '--plastid                                 | 1     | 6e-05      |                
 '--repeat                                      | 287   | 0.017      |                
     '--mobile_element                          | 287   | 0.017      |                
         '--Class_I                             | 287   | 0.017      |                
             '--LTR                             | 287   | 0.017      | LTR/PBS        
                 '--Ty1_copia                   | 287   | 0.017      |                
                     '--SIRE                    | 287   | 0.017      | 287 (Ty1-GAG), "	NA	"103,62"
21	15068	"TAR"	"                                                | nhits | proportion |                                     features
-------------------------------------------------------------------------------------------------------------------
All                                             | 295   | 0.02       |                                             
 '--repeat                                      | 295   | 0.02       |                                             
     '--mobile_element                          | 295   | 0.02       |                                             
         '--Class_I                             | 295   | 0.02       |                                             
             '--LTR                             | 295   | 0.02       |                                             
                 '--Ty1_copia                   | 295   | 0.02       |                                             
                     '--TAR                     | 295   | 0.02       | 147 (Ty1-GAG), 4 (Ty1-INT), 144 (Ty1-PROT), "	NA	"27"
22	14073	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 10    | 0.00071    |         
 '--organelle                                   | 10    | 0.00071    |         
     '--plastid                                 | 10    | 0.00071    |         "	NA	"33"
23	12665	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"45"
24	12594	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"47"
25	11897	"LTR"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 5     | 0.00042    |              
 |--organelle                                   | 2     | 0.00017    |              
 |   '--mitochondria                            | 2     | 0.00017    |              
 '--repeat                                      | 3     | 0.00025    |              
     '--mobile_element                          | 3     | 0.00025    |              
         '--Class_I                             | 3     | 0.00025    |              
             '--LTR                             | 3     | 0.00025    | LTR/PBS      
                 |--Ty1_copia                   | 1     | 8.4e-05    |              
                 |   '--Angela                  | 1     | 8.4e-05    | 1 (Ty1-INT), 
                 '--Ty3_gypsy                   | 2     | 0.00017    |              
                     '--chromovirus             | 2     | 0.00017    |              
                         |--CRM                 | 1     | 8.4e-05    | 1 (Ty3-INT), 
                         '--Tekay               | 1     | 8.4e-05    | 1 (Ty3-INT), "	NA	"53"
26	10142	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 10133 | 1          |         
 '--organelle                                   | 10133 | 1          |         
     |--plastid                                 | 9961  | 0.98       |         
     '--mitochondria                            | 172   | 0.017      |         "	NA	"143,88"
27	8997	"LTR"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 3     | 0.00033    |              
 |--organelle                                   | 1     | 0.00011    |              
 |   '--plastid                                 | 1     | 0.00011    |              
 '--repeat                                      | 2     | 0.00022    |              
     '--mobile_element                          | 2     | 0.00022    |              
         '--Class_I                             | 2     | 0.00022    |              
             '--LTR                             | 2     | 0.00022    | LTR/PBS      
                 |--Ty1_copia                   | 1     | 0.00011    |              
                 |   '--Angela                  | 1     | 0.00011    | 1 (Ty1-RT),  
                 '--Ty3_gypsy                   | 1     | 0.00011    |              
                     '--non-chromovirus         | 1     | 0.00011    |              
                         '--OTA                 | 1     | 0.00011    |              
                             '--Tat             | 1     | 0.00011    |              
                                 '--Retand      | 1     | 0.00011    | 1 (Ty3-INT), "	NA	"77"
28	8697	"CRM"	"                                                | nhits | proportion |                                                     features
-----------------------------------------------------------------------------------------------------------------------------------
All                                             | 1162  | 0.13       |                                                             
 '--repeat                                      | 1162  | 0.13       |                                                             
     '--mobile_element                          | 1162  | 0.13       |                                                             
         |--Class_I                             | 1160  | 0.13       |                                                             
         |   '--LTR                             | 1160  | 0.13       |                                                             
         |       |--Ty1_copia                   | 1     | 0.00012    |                                                             
         |       |   '--Ale                     | 1     | 0.00012    | 1 (Ty1-RT),                                                 
         |       '--Ty3_gypsy                   | 1159  | 0.13       |                                                             
         |           |--non-chromovirus         | 1     | 0.00012    |                                                             
         |           |   '--OTA                 | 1     | 0.00012    |                                                             
         |           |       '--Athila          | 1     | 0.00012    | 1 (Ty3-INT),                                                
         |           '--chromovirus             | 1158  | 0.13       |                                                             
         |               |--CRM                 | 1157  | 0.13       | 165 (Ty3-CHDCR), 276 (Ty3-GAG), 627 (Ty3-INT), 89 (Ty3-RH), 
         |               '--Tekay               | 1     | 0.00012    | 1 (Ty3-RH),                                                 
         '--Class_II                            | 2     | 0.00023    |                                                             
             '--Subclass_1                      | 2     | 0.00023    |                                                             
                 '--TIR                         | 2     | 0.00023    |                                                             
                     '--EnSpm_CACTA             | 2     | 0.00023    | 2 (CACTA-TPase),                                            "	NA	"152,99"
29	8398	"NA"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 3     | 0.00036    |                
 |--organelle                                   | 1     | 0.00012    |                
 |   '--mitochondria                            | 1     | 0.00012    |                
 '--repeat                                      | 2     | 0.00024    |                
     '--mobile_element                          | 2     | 0.00024    |                
         |--Class_I                             | 1     | 0.00012    |                
         |   '--LTR                             | 1     | 0.00012    |                
         |       '--Ty3_gypsy                   | 1     | 0.00012    |                
         |           '--non-chromovirus         | 1     | 0.00012    |                
         |               '--OTA                 | 1     | 0.00012    |                
         |                   '--Tat             | 1     | 0.00012    |                
         |                       '--Retand      | 1     | 0.00012    | 1 (Ty3-RT),    
         '--Class_II                            | 1     | 0.00012    |                
             '--Subclass_1                      | 1     | 0.00012    |                
                 '--TIR                         | 1     | 0.00012    |                
                     '--hAT                     | 1     | 0.00012    | 1 (hAT-TPase), "	NA	"82"
30	8292	"plastid"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 934   | 0.11       |             
 |--organelle                                   | 933   | 0.11       |             
 |   '--plastid                                 | 933   | 0.11       |             
 '--repeat                                      | 1     | 0.00012    |             
     '--mobile_element                          | 1     | 0.00012    |             
         '--Class_I                             | 1     | 0.00012    |             
             '--LTR                             | 1     | 0.00012    |             
                 '--Ty1_copia                   | 1     | 0.00012    |             
                     '--Ale                     | 1     | 0.00012    | 1 (Ty1-RH), "	NA	"83"
31	8279	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"136,108"
32	7990	"EnSpm_CACTA"	"                                                | nhits | proportion |                 features
-----------------------------------------------------------------------------------------------
All                                             | 1544  | 0.19       |                         
 '--repeat                                      | 1544  | 0.19       |                         
     '--mobile_element                          | 1544  | 0.19       |                         
         |--Class_I                             | 2     | 0.00025    |                         
         |   '--LTR                             | 2     | 0.00025    |                         
         |       '--Ty1_copia                   | 2     | 0.00025    |                         
         |           '--Angela                  | 2     | 0.00025    | 1 (Ty1-RH), 1 (Ty1-RT), 
         '--Class_II                            | 1542  | 0.19       |                         
             '--Subclass_1                      | 1542  | 0.19       |                         
                 '--TIR                         | 1542  | 0.19       |                         
                     '--EnSpm_CACTA             | 1542  | 0.19       | 1542 (CACTA-TPase),     "	NA	"86"
33	7773	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"132,125"
34	7681	"Retand"	"                                                | nhits | proportion |                                                   features
---------------------------------------------------------------------------------------------------------------------------------
All                                             | 1576  | 0.2        |                                                           
 '--repeat                                      | 1576  | 0.2        |                                                           
     '--mobile_element                          | 1576  | 0.2        |                                                           
         '--Class_I                             | 1576  | 0.2        |                                                           
             '--LTR                             | 1576  | 0.2        |                                                           
                 '--Ty3_gypsy                   | 1576  | 0.2        |                                                           
                     |--non-chromovirus         | 1570  | 0.2        |                                                           
                     |   |--non-chromo-outgroup | 3     | 0.00039    | 3 (Ty3-RT),                                               
                     |   '--OTA                 | 1567  | 0.2        |                                                           
                     |       |--Athila          | 8     | 0.001      | 3 (Ty3-GAG), 5 (Ty3-RT),                                  
                     |       '--Tat             | 1559  | 0.2        |                                                           
                     |           |--Ogre        | 13    | 0.0017     | 1 (Ty3-GAG), 12 (Ty3-RT),                                 
                     |           '--Retand      | 1546  | 0.2        | 474 (Ty3-GAG), 544 (Ty3-PROT), 63 (Ty3-RH), 465 (Ty3-RT), 
                     '--chromovirus             | 6     | 0.00078    |                                                           
                         |--Chlamyvir           | 1     | 0.00013    | 1 (Ty3-RT),                                               
                         |--Tcn1                | 1     | 0.00013    | 1 (Ty3-RT),                                               
                         |--CRM                 | 1     | 0.00013    | 1 (Ty3-RH),                                               
                         |--Tekay               | 1     | 0.00013    | 1 (Ty3-RT),                                               
                         '--Reina               | 2     | 0.00026    | 2 (Ty3-RH),                                               "	NA	"87"
35	7397	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"90"
36	7253	"EnSpm_CACTA"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 845   | 0.12       |                    
 '--repeat                                      | 845   | 0.12       |                    
     '--mobile_element                          | 845   | 0.12       |                    
         '--Class_II                            | 845   | 0.12       |                    
             '--Subclass_1                      | 845   | 0.12       |                    
                 '--TIR                         | 845   | 0.12       |                    
                     '--EnSpm_CACTA             | 845   | 0.12       | 845 (CACTA-TPase), "	NA	"93"
37	7101	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"95"
38	6980	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"96"
39	6867	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"97"
40	6347	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00016    |         
 '--organelle                                   | 1     | 0.00016    |         
     '--plastid                                 | 1     | 0.00016    |         "	NA	"101"
41	5296	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00019    |         
 '--organelle                                   | 1     | 0.00019    |         
     '--plastid                                 | 1     | 0.00019    |         "	NA	"109"
42	4820	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 4     | 0.00083    |         
 '--organelle                                   | 4     | 0.00083    |         
     '--plastid                                 | 4     | 0.00083    |         "	NA	"112"
43	4645	"Ogre"	"                                                | nhits | proportion |                                                                                  features
----------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1072  | 0.23       |                                                                                          
 |--organelle                                   | 5     | 0.0011     |                                                                                          
 |   '--mitochondria                            | 5     | 0.0011     |                                                                                          
 '--repeat                                      | 1067  | 0.23       |                                                                                          
     '--mobile_element                          | 1067  | 0.23       |                                                                                          
         '--Class_I                             | 1067  | 0.23       |                                                                                          
             '--LTR                             | 1067  | 0.23       | LTR/PBS                                                                                  
                 '--Ty3_gypsy                   | 1067  | 0.23       |                                                                                          
                     '--non-chromovirus         | 1067  | 0.23       |                                                                                          
                         '--OTA                 | 1067  | 0.23       |                                                                                          
                             '--Tat             | 1067  | 0.23       |                                                                                          
                                 |--Ogre        | 1065  | 0.23       | 128 (Ty3-aRH), 133 (Ty3-GAG), 364 (Ty3-INT), 115 (Ty3-PROT), 135 (Ty3-RH), 190 (Ty3-RT), 
                                 '--Retand      | 2     | 0.00043    | 1 (Ty3-aRH), 1 (Ty3-RT),                                                                 "	NA	"116"
44	4537	"TAR"	"                                                | nhits | proportion |                                    features
------------------------------------------------------------------------------------------------------------------
All                                             | 1049  | 0.23       |                                            
 |--organelle                                   | 39    | 0.0086     |                                            
 |   '--mitochondria                            | 39    | 0.0086     |                                            
 '--repeat                                      | 1010  | 0.22       |                                            
     '--mobile_element                          | 1010  | 0.22       |                                            
         '--Class_I                             | 1010  | 0.22       |                                            
             '--LTR                             | 1010  | 0.22       |                                            
                 '--Ty1_copia                   | 1010  | 0.22       |                                            
                     |--Angela                  | 1     | 0.00022    | 1 (Ty1-RT),                                
                     |--Ivana                   | 12    | 0.0026     | 12 (Ty1-RH),                               
                     '--TAR                     | 997   | 0.22       | 336 (Ty1-INT), 244 (Ty1-RH), 417 (Ty1-RT), "	NA	"118"
45	4527	"Retand"	"                                                | nhits | proportion |                                                   features
---------------------------------------------------------------------------------------------------------------------------------
All                                             | 2021  | 0.45       |                                                           
 |--organelle                                   | 1     | 0.00022    |                                                           
 |   '--plastid                                 | 1     | 0.00022    |                                                           
 '--repeat                                      | 2020  | 0.45       |                                                           
     '--mobile_element                          | 2020  | 0.45       |                                                           
         '--Class_I                             | 2020  | 0.45       |                                                           
             '--LTR                             | 2020  | 0.45       |                                                           
                 '--Ty3_gypsy                   | 2020  | 0.45       |                                                           
                     |--non-chromovirus         | 1998  | 0.44       |                                                           
                     |   '--OTA                 | 1998  | 0.44       |                                                           
                     |       '--Tat             | 1998  | 0.44       |                                                           
                     |           |--Ogre        | 6     | 0.0013     | 3 (Ty3-aRH), 2 (Ty3-INT), 1 (Ty3-RT),                     
                     |           '--Retand      | 1992  | 0.44       | 251 (Ty3-aRH), 999 (Ty3-INT), 416 (Ty3-RH), 326 (Ty3-RT), 
                     '--chromovirus             | 22    | 0.0049     |                                                           
                         |--Tekay               | 21    | 0.0046     | 21 (Ty3-RH),                                              
                         '--Reina               | 1     | 0.00022    | 1 (Ty3-RH),                                               "	NA	"119"
46	4514	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00022    |         
 '--organelle                                   | 1     | 0.00022    |         
     '--mitochondria                            | 1     | 0.00022    |         "	NA	"120"
47	4252	"SIRE"	"                                                | nhits | proportion |                                                                features
----------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1471  | 0.35       |                                                                        
 '--repeat                                      | 1471  | 0.35       |                                                                        
     '--mobile_element                          | 1471  | 0.35       |                                                                        
         '--Class_I                             | 1471  | 0.35       |                                                                        
             '--LTR                             | 1471  | 0.35       |                                                                        
                 '--Ty1_copia                   | 1471  | 0.35       |                                                                        
                     |--Ale                     | 57    | 0.013      | 15 (Ty1-INT), 30 (Ty1-PROT), 11 (Ty1-RH), 1 (Ty1-RT),                  
                     |--Alesia                  | 1     | 0.00024    | 1 (Ty1-INT),                                                           
                     |--Angela                  | 1     | 0.00024    | 1 (Ty1-INT),                                                           
                     |--Gymco-II                | 1     | 0.00024    | 1 (Ty1-RH),                                                            
                     |--Ikeros                  | 1     | 0.00024    | 1 (Ty1-INT),                                                           
                     |--Ivana                   | 75    | 0.018      | 1 (Ty1-INT), 19 (Ty1-PROT), 47 (Ty1-RH), 8 (Ty1-RT),                   
                     |--SIRE                    | 1333  | 0.31       | 2 (Ty1-GAG), 403 (Ty1-INT), 40 (Ty1-PROT), 269 (Ty1-RH), 619 (Ty1-RT), 
                     |--Tork                    | 1     | 0.00024    | 1 (Ty1-INT),                                                           
                     '--Ty1-outgroup            | 1     | 0.00024    | 1 (Ty1-INT),                                                           "	NA	"126"
48	4231	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"127"
49	3940	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 3940  | 1          |         
 '--organelle                                   | 3940  | 1          |         
     |--plastid                                 | 3935  | 1          |         
     '--mitochondria                            | 5     | 0.0013     |         "	NA	"128"
